iter	Passed	Remaining
0	160	160793
1	169	84411
2	179	59694
3	187	46626
4	195	38928
5	203	33692
6	212	30078
7	219	27279
8	228	25139
9	236	23436
10	244	21982
11	254	20989
12	262	19944
13	272	19187
14	280	18421
15	288	17739
16	296	17173
17	306	16698
18	315	16278
19	324	15907
20	333	15558
21	342	15213
22	349	14831
23	383	15614
24	390	15220
25	395	14830
26	405	14607
27	412	14320
28	419	14059
29	426	13798
30	434	13582
31	441	13344
32	449	13165
33	456	12982
34	465	12827
35	472	12647
36	479	12467
37	485	12283
38	493	12154
39	500	12012
40	508	11891
41	515	11754
42	523	11640
43	530	11519
44	537	11409
45	545	11310
46	553	11221
47	561	11137
48	568	11039
49	576	10955
50	583	10864
51	591	10785
52	599	10704
53	606	10629
54	613	10545
55	620	10459
56	627	10384
57	635	10316
58	642	10253
59	650	10189
60	657	10121
61	665	10069
62	673	10018
63	680	9946
64	688	9897
65	695	9837
66	703	9800
67	711	9746
68	719	9706
69	728	9683
70	736	9640
71	744	9593
72	751	9547
73	757	9474
74	765	9435
75	771	9383
76	779	9341
77	787	9303
78	793	9256
79	799	9195
80	807	9161
81	812	9090
82	819	9056
83	828	9030
84	835	8998
85	843	8959
86	851	8937
87	859	8903
88	867	8874
89	874	8843
90	883	8822
91	888	8771
92	893	8711
93	900	8680
94	907	8646
95	914	8615
96	922	8584
97	930	8562
98	937	8530
99	945	8505
100	953	8486
101	960	8458
102	967	8429
103	976	8411
104	984	8387
105	991	8365
106	999	8344
107	1007	8318
108	1014	8292
109	1022	8268
110	1029	8248
111	1036	8221
112	1044	8195
113	1047	8144
114	1056	8127
115	1063	8104
116	1070	8081
117	1077	8057
118	1085	8038
119	1093	8019
120	1101	8000
121	1109	7982
122	1117	7968
123	1125	7951
124	1133	7937
125	1142	7926
126	1151	7916
127	1158	7889
128	1166	7873
129	1173	7853
130	1180	7830
131	1188	7813
132	1195	7790
133	1201	7766
134	1208	7743
135	1214	7718
136	1222	7699
137	1229	7682
138	1235	7654
139	1243	7635
140	1251	7624
141	1258	7604
142	1266	7589
143	1274	7575
144	1283	7566
145	1290	7547
146	1295	7516
147	1302	7501
148	1310	7483
149	1317	7468
150	1324	7449
151	1332	7436
152	1339	7417
153	1347	7402
154	1355	7388
155	1362	7373
156	1370	7357
157	1378	7343
158	1384	7323
159	1391	7307
160	1399	7293
161	1405	7270
162	1412	7255
163	1420	7240
164	1428	7228
165	1435	7212
166	1443	7201
167	1450	7184
168	1458	7170
169	1465	7155
170	1473	7142
171	1480	7126
172	1487	7110
173	1495	7097
174	1502	7082
175	1509	7069
176	1517	7055
177	1525	7043
178	1533	7034
179	1543	7032
180	1550	7015
181	1556	6996
182	1563	6979
183	1570	6963
184	1576	6944
185	1582	6925
186	1587	6903
187	1593	6883
188	1599	6865
189	1606	6847
190	1611	6825
191	1617	6807
192	1622	6784
193	1629	6769
194	1636	6755
195	1641	6734
196	1646	6713
197	1653	6698
198	1660	6685
199	1666	6664
200	1671	6646
201	1678	6630
202	1684	6614
203	1691	6600
204	1697	6583
205	1703	6565
206	1709	6550
207	1715	6531
208	1721	6514
209	1728	6501
210	1734	6487
211	1741	6472
212	1747	6457
213	1754	6443
214	1760	6427
215	1766	6411
216	1772	6394
217	1778	6381
218	1785	6366
219	1791	6353
220	1798	6339
221	1805	6326
222	1812	6313
223	1818	6300
224	1825	6288
225	1832	6274
226	1839	6263
227	1845	6249
228	1851	6233
229	1857	6218
230	1864	6207
231	1871	6195
232	1878	6184
233	1885	6171
234	1892	6160
235	1899	6147
236	1904	6132
237	1911	6121
238	1918	6107
239	1924	6093
240	1930	6080
241	1938	6071
242	1946	6063
243	1953	6052
244	1960	6041
245	1967	6031
246	1974	6019
247	1982	6010
248	1989	6001
249	1997	5991
250	2004	5982
251	2013	5975
252	2021	5968
253	2029	5959
254	2036	5948
255	2043	5937
256	2050	5927
257	2057	5918
258	2065	5908
259	2072	5899
260	2080	5890
261	2087	5881
262	2096	5875
263	2104	5866
264	2112	5858
265	2120	5850
266	2127	5840
267	2134	5831
268	2142	5822
269	2150	5813
270	2158	5807
271	2167	5800
272	2175	5793
273	2183	5786
274	2190	5773
275	2198	5768
276	2203	5751
277	2209	5737
278	2215	5725
279	2222	5714
280	2230	5705
281	2237	5696
282	2245	5689
283	2252	5678
284	2259	5668
285	2266	5658
286	2273	5649
287	2280	5638
288	2287	5627
289	2294	5617
290	2301	5607
291	2308	5597
292	2316	5588
293	2322	5577
294	2330	5569
295	2337	5559
296	2349	5560
297	2358	5556
298	2366	5547
299	2374	5541
300	2381	5531
301	2390	5525
302	2397	5515
303	2405	5506
304	2412	5496
305	2420	5489
306	2427	5479
307	2437	5476
308	2444	5467
309	2452	5457
310	2458	5446
311	2465	5437
312	2473	5428
313	2480	5418
314	2488	5411
315	2495	5401
316	2503	5393
317	2510	5384
318	2518	5376
319	2526	5368
320	2534	5360
321	2541	5351
322	2548	5341
323	2555	5330
324	2562	5322
325	2569	5313
326	2577	5304
327	2586	5299
328	2594	5290
329	2600	5279
330	2608	5273
331	2615	5262
332	2624	5256
333	2631	5247
334	2639	5239
335	2646	5230
336	2654	5221
337	2660	5211
338	2668	5203
339	2675	5193
340	2681	5182
341	2688	5172
342	2696	5165
343	2704	5157
344	2711	5148
345	2717	5136
346	2725	5129
347	2733	5120
348	2741	5113
349	2751	5109
350	2759	5102
351	2766	5092
352	2774	5085
353	2781	5075
354	2789	5068
355	2796	5059
356	2804	5051
357	2812	5043
358	2819	5034
359	2827	5027
360	2835	5019
361	2844	5012
362	2851	5003
363	2859	4995
364	2866	4987
365	2874	4979
366	2881	4970
367	2890	4964
368	2897	4955
369	2906	4948
370	2913	4940
371	2921	4931
372	2928	4922
373	2935	4913
374	2942	4904
375	2950	4896
376	2957	4887
377	2965	4879
378	2972	4870
379	2979	4862
380	2987	4853
381	2994	4844
382	3001	4835
383	3009	4826
384	3017	4819
385	3024	4810
386	3031	4802
387	3038	4793
388	3046	4785
389	3053	4776
390	3060	4767
391	3067	4758
392	3074	4749
393	3081	4739
394	3088	4729
395	3095	4720
396	3102	4712
397	3109	4703
398	3117	4695
399	3124	4686
400	3131	4677
401	3141	4673
402	3151	4668
403	3159	4660
404	3166	4651
405	3173	4642
406	3180	4634
407	3187	4624
408	3195	4617
409	3203	4609
410	3210	4600
411	3217	4592
412	3225	4584
413	3233	4576
414	3241	4569
415	3247	4559
416	3255	4552
417	3262	4542
418	3270	4534
419	3276	4525
420	3284	4516
421	3290	4507
422	3297	4498
423	3305	4490
424	3311	4480
425	3318	4472
426	3325	4463
427	3333	4455
428	3340	4446
429	3347	4437
430	3355	4429
431	3362	4421
432	3370	4413
433	3377	4405
434	3385	4397
435	3393	4389
436	3401	4382
437	3408	4373
438	3415	4364
439	3422	4356
440	3429	4347
441	3436	4338
442	3443	4329
443	3450	4321
444	3457	4312
445	3466	4305
446	3473	4297
447	3481	4289
448	3487	4280
449	3495	4271
450	3502	4263
451	3509	4254
452	3519	4249
453	3527	4242
454	3535	4234
455	3546	4230
456	3552	4220
457	3560	4213
458	3565	4202
459	3574	4195
460	3581	4187
461	3591	4182
462	3597	4172
463	3602	4161
464	3608	4151
465	3615	4142
466	3624	4137
467	3633	4130
468	3640	4121
469	3647	4112
470	3652	4102
471	3662	4097
472	3668	4087
473	3674	4077
474	3680	4068
475	3687	4059
476	3693	4049
477	3698	4039
478	3704	4029
479	3710	4019
480	3716	4010
481	3723	4001
482	3730	3993
483	3739	3986
484	3745	3977
485	3758	3974
486	3763	3964
487	3771	3957
488	3778	3948
489	3785	3939
490	3791	3930
491	3799	3922
492	3807	3915
493	3814	3907
494	3821	3898
495	3827	3889
496	3834	3880
497	3841	3872
498	3847	3863
499	3853	3853
500	3862	3846
501	3871	3840
502	3883	3836
503	3889	3827
504	3895	3818
505	3902	3810
506	3909	3801
507	3917	3793
508	3923	3784
509	3929	3775
510	3936	3766
511	3945	3760
512	3953	3752
513	3959	3743
514	3967	3736
515	3973	3727
516	3980	3719
517	3986	3709
518	3994	3701
519	3999	3692
520	4005	3682
521	4012	3674
522	4019	3666
523	4026	3657
524	4033	3649
525	4039	3640
526	4046	3632
527	4053	3623
528	4061	3616
529	4067	3606
530	4073	3598
531	4080	3589
532	4088	3581
533	4094	3573
534	4102	3565
535	4110	3558
536	4117	3550
537	4125	3542
538	4132	3534
539	4140	3526
540	4147	3519
541	4154	3510
542	4162	3503
543	4169	3494
544	4176	3486
545	4183	3478
546	4191	3471
547	4199	3463
548	4207	3456
549	4214	3448
550	4222	3440
551	4229	3432
552	4237	3425
553	4244	3416
554	4252	3409
555	4260	3402
556	4268	3395
557	4276	3387
558	4283	3379
559	4290	3371
560	4298	3363
561	4306	3356
562	4313	3348
563	4321	3340
564	4329	3333
565	4336	3325
566	4345	3318
567	4357	3313
568	4364	3305
569	4371	3297
570	4378	3289
571	4385	3281
572	4393	3273
573	4400	3265
574	4407	3257
575	4415	3250
576	4423	3243
577	4432	3235
578	4439	3228
579	4447	3220
580	4455	3212
581	4462	3205
582	4470	3197
583	4476	3189
584	4484	3181
585	4492	3173
586	4499	3165
587	4506	3157
588	4514	3150
589	4522	3142
590	4529	3134
591	4537	3126
592	4544	3119
593	4552	3111
594	4559	3103
595	4567	3095
596	4574	3087
597	4581	3080
598	4589	3072
599	4597	3065
600	4605	3057
601	4613	3049
602	4619	3041
603	4627	3034
604	4634	3025
605	4640	3017
606	4647	3009
607	4655	3001
608	4662	2993
609	4669	2985
610	4676	2977
611	4684	2969
612	4692	2962
613	4700	2954
614	4707	2947
615	4716	2939
616	4723	2931
617	4731	2924
618	4740	2918
619	4747	2909
620	4755	2902
621	4762	2894
622	4770	2886
623	4777	2878
624	4784	2870
625	4791	2862
626	4799	2855
627	4807	2847
628	4815	2840
629	4822	2832
630	4830	2824
631	4837	2816
632	4844	2809
633	4853	2801
634	4861	2794
635	4868	2786
636	4876	2779
637	4885	2771
638	4892	2764
639	4901	2756
640	4908	2749
641	4917	2741
642	4925	2734
643	4933	2727
644	4942	2720
645	4949	2712
646	4957	2704
647	4964	2696
648	4972	2689
649	4979	2681
650	4986	2673
651	4994	2665
652	5001	2657
653	5008	2649
654	5015	2641
655	5023	2634
656	5030	2626
657	5037	2618
658	5045	2610
659	5052	2603
660	5060	2595
661	5067	2587
662	5075	2579
663	5082	2571
664	5089	2564
665	5096	2556
666	5105	2548
667	5112	2540
668	5119	2533
669	5126	2525
670	5134	2517
671	5141	2509
672	5148	2501
673	5156	2494
674	5164	2486
675	5171	2478
676	5178	2470
677	5190	2464
678	5199	2458
679	5206	2450
680	5214	2442
681	5221	2434
682	5229	2427
683	5236	2419
684	5244	2411
685	5251	2403
686	5257	2395
687	5265	2387
688	5272	2379
689	5280	2372
690	5287	2364
691	5294	2356
692	5302	2348
693	5309	2340
694	5316	2333
695	5324	2325
696	5332	2318
697	5339	2310
698	5347	2302
699	5355	2295
700	5363	2287
701	5370	2279
702	5378	2272
703	5386	2264
704	5394	2257
705	5402	2249
706	5410	2242
707	5418	2234
708	5426	2227
709	5433	2219
710	5440	2211
711	5447	2203
712	5455	2195
713	5463	2188
714	5468	2179
715	5475	2171
716	5482	2164
717	5490	2156
718	5497	2148
719	5504	2140
720	5512	2133
721	5519	2125
722	5526	2117
723	5534	2109
724	5542	2102
725	5549	2094
726	5557	2086
727	5564	2079
728	5572	2071
729	5581	2064
730	5591	2057
731	5598	2049
732	5606	2042
733	5613	2034
734	5621	2026
735	5628	2019
736	5636	2011
737	5643	2003
738	5651	1996
739	5659	1988
740	5666	1980
741	5673	1972
742	5682	1965
743	5690	1958
744	5698	1950
745	5706	1942
746	5713	1935
747	5721	1927
748	5729	1919
749	5736	1912
750	5743	1904
751	5750	1896
752	5757	1888
753	5764	1880
754	5773	1873
755	5780	1865
756	5788	1858
757	5796	1850
758	5804	1842
759	5811	1835
760	5819	1827
761	5826	1819
762	5834	1812
763	5842	1804
764	5849	1796
765	5856	1789
766	5864	1781
767	5872	1774
768	5880	1766
769	5887	1758
770	5895	1751
771	5902	1743
772	5910	1735
773	5917	1727
774	5925	1720
775	5932	1712
776	5940	1705
777	5947	1697
778	5954	1689
779	5962	1681
780	5972	1674
781	5980	1667
782	5989	1659
783	5996	1652
784	6003	1644
785	6010	1636
786	6017	1628
787	6024	1620
788	6032	1613
789	6039	1605
790	6046	1597
791	6054	1590
792	6062	1582
793	6069	1574
794	6076	1567
795	6084	1559
796	6092	1551
797	6100	1544
798	6107	1536
799	6115	1528
800	6123	1521
801	6131	1513
802	6139	1506
803	6146	1498
804	6154	1490
805	6161	1483
806	6168	1475
807	6176	1467
808	6184	1460
809	6191	1452
810	6198	1444
811	6205	1436
812	6213	1429
813	6220	1421
814	6227	1413
815	6235	1406
816	6242	1398
817	6249	1390
818	6257	1382
819	6264	1375
820	6272	1367
821	6279	1359
822	6286	1352
823	6293	1344
824	6301	1336
825	6308	1328
826	6316	1321
827	6324	1313
