iter	Passed	Remaining
0	147	147387
1	153	76743
2	160	53361
3	166	41341
4	170	33929
5	175	29055
6	180	25621
7	184	22866
8	188	20730
9	193	19139
10	196	17675
11	199	16417
12	202	15365
13	205	14459
14	208	13721
15	211	13030
16	214	12419
17	217	11868
18	219	11356
19	224	10991
20	226	10576
21	229	10195
22	231	9846
23	234	9532
24	237	9256
25	241	9031
26	243	8785
27	246	8550
28	248	8330
29	251	8128
30	254	7948
31	257	7798
32	260	7625
33	262	7464
34	265	7315
35	267	7169
36	271	7074
37	274	6947
38	276	6822
39	279	6703
40	281	6593
41	284	6492
42	288	6412
43	290	6315
44	293	6220
45	295	6137
46	298	6053
47	302	6003
48	305	5933
49	308	5853
50	310	5784
51	313	5716
52	316	5649
53	319	5603
54	322	5536
55	324	5472
56	327	5414
57	329	5358
58	333	5318
59	336	5271
60	338	5216
61	341	5165
62	343	5113
63	346	5062
64	349	5023
65	352	4985
66	354	4937
67	356	4890
68	359	4845
69	361	4800
70	364	4765
71	367	4738
72	370	4699
73	371	4653
74	374	4618
75	376	4579
76	378	4542
77	383	4534
78	386	4502
79	388	4462
80	390	4433
81	392	4392
82	395	4367
83	401	4378
84	404	4359
85	410	4359
86	414	4351
87	417	4323
88	419	4297
89	422	4270
90	424	4244
91	426	4210
92	430	4195
93	432	4171
94	435	4145
95	437	4120
96	439	4094
97	442	4071
98	446	4061
99	448	4039
100	451	4016
101	453	3994
102	456	3972
103	458	3951
104	462	3942
105	465	3923
106	468	3907
107	470	3888
108	473	3868
109	476	3854
110	479	3843
111	482	3826
112	485	3807
113	486	3781
114	489	3765
115	492	3750
116	495	3740
117	498	3729
118	501	3713
119	504	3696
120	506	3679
121	510	3672
122	514	3665
123	516	3651
124	519	3634
125	521	3617
126	525	3613
127	528	3601
128	531	3586
129	533	3572
130	536	3557
131	538	3542
132	542	3534
133	544	3521
134	547	3506
135	549	3490
136	552	3478
137	555	3471
138	558	3459
139	560	3445
140	563	3433
141	565	3417
142	568	3404
143	571	3398
144	575	3393
145	577	3380
146	579	3362
147	582	3351
148	589	3368
149	593	3361
150	595	3350
151	598	3341
152	601	3332
153	606	3331
154	609	3320
155	611	3308
156	613	3296
157	616	3285
158	619	3279
159	623	3273
160	625	3262
161	628	3250
162	630	3239
163	633	3228
164	636	3223
165	639	3215
166	642	3204
167	644	3194
168	647	3183
169	650	3174
170	653	3168
171	656	3158
172	658	3147
173	661	3139
174	663	3129
175	666	3121
176	670	3117
177	672	3106
178	675	3097
179	677	3087
180	680	3076
181	682	3069
182	685	3062
183	688	3052
184	691	3044
185	693	3035
186	695	3025
187	698	3018
188	702	3013
189	704	3003
190	707	2996
191	710	2988
192	712	2978
193	715	2974
194	718	2966
195	721	2957
196	723	2949
197	725	2940
198	728	2931
199	733	2932
200	736	2925
201	739	2920
202	742	2914
203	745	2907
204	749	2905
205	751	2898
206	754	2891
207	757	2884
208	759	2875
209	764	2876
210	767	2870
211	771	2866
212	774	2860
213	776	2853
214	781	2851
215	783	2842
216	785	2834
217	787	2825
218	789	2817
219	792	2808
220	794	2802
221	798	2798
222	802	2797
223	806	2792
224	808	2784
225	812	2781
226	814	2773
227	817	2768
228	819	2760
229	822	2753
230	824	2746
231	828	2742
232	831	2737
233	835	2733
234	837	2727
235	840	2720
236	844	2719
237	847	2713
238	850	2707
239	852	2701
240	855	2693
241	858	2688
242	861	2682
243	863	2674
244	865	2666
245	867	2658
246	869	2651
247	872	2645
248	876	2642
249	878	2635
250	880	2627
251	882	2619
252	885	2613
253	888	2608
254	892	2608
255	895	2602
256	904	2615
257	914	2630
258	925	2647
259	928	2642
260	931	2637
261	935	2635
262	938	2629
263	948	2643
264	950	2636
265	959	2647
266	974	2675
267	977	2668
268	979	2662
269	985	2663
270	990	2665
271	993	2659
272	1004	2676
273	1010	2677
274	1014	2674
275	1017	2668
276	1019	2661
277	1025	2664
278	1031	2665
279	1034	2659
280	1046	2678
281	1049	2673
282	1053	2668
283	1057	2664
284	1059	2658
285	1062	2652
286	1064	2644
287	1066	2636
288	1069	2631
289	1072	2626
290	1075	2619
291	1077	2611
292	1079	2604
293	1081	2597
294	1084	2591
295	1087	2587
296	1090	2580
297	1092	2573
298	1094	2566
299	1097	2560
300	1100	2555
301	1103	2551
302	1106	2545
303	1109	2539
304	1111	2533
305	1114	2526
306	1117	2522
307	1120	2518
308	1123	2512
309	1125	2506
310	1128	2499
311	1131	2494
312	1134	2491
313	1137	2485
314	1140	2479
315	1142	2473
316	1145	2467
317	1149	2464
318	1152	2460
319	1155	2454
320	1157	2448
321	1159	2442
322	1163	2437
323	1167	2434
324	1169	2429
325	1172	2423
326	1175	2419
327	1178	2414
328	1183	2412
329	1186	2408
330	1191	2407
331	1194	2402
332	1197	2398
333	1200	2393
334	1202	2387
335	1205	2381
336	1207	2375
337	1209	2369
338	1214	2368
339	1217	2362
340	1219	2356
341	1221	2351
342	1224	2345
343	1227	2340
344	1230	2336
345	1233	2331
346	1236	2326
347	1238	2320
348	1241	2315
349	1245	2312
350	1248	2307
351	1250	2301
352	1252	2296
353	1255	2290
354	1257	2285
355	1261	2281
356	1264	2277
357	1266	2271
358	1269	2266
359	1271	2261
360	1274	2255
361	1277	2251
362	1279	2246
363	1282	2240
364	1284	2235
365	1287	2229
366	1289	2224
367	1293	2220
368	1295	2215
369	1297	2209
370	1300	2204
371	1302	2198
372	1304	2193
373	1307	2187
374	1310	2184
375	1312	2178
376	1314	2173
377	1317	2167
378	1319	2162
379	1322	2157
380	1325	2153
381	1327	2147
382	1329	2142
383	1332	2137
384	1334	2132
385	1336	2126
386	1339	2122
387	1342	2117
388	1344	2112
389	1347	2107
390	1349	2101
391	1351	2096
392	1354	2091
393	1357	2087
394	1359	2082
395	1361	2077
396	1364	2071
397	1366	2067
398	1368	2061
399	1371	2056
400	1374	2052
401	1376	2047
402	1378	2042
403	1380	2036
404	1382	2031
405	1385	2026
406	1388	2023
407	1391	2018
408	1393	2013
409	1395	2008
410	1398	2003
411	1400	1998
412	1403	1994
413	1406	1990
414	1408	1985
415	1410	1980
416	1413	1975
417	1415	1970
418	1417	1966
419	1421	1962
420	1423	1957
421	1425	1952
422	1428	1947
423	1430	1943
424	1433	1938
425	1436	1935
426	1439	1931
427	1441	1926
428	1443	1921
429	1446	1916
430	1448	1911
431	1451	1908
432	1453	1903
433	1456	1899
434	1458	1894
435	1460	1889
436	1462	1884
437	1465	1879
438	1468	1876
439	1471	1872
440	1473	1867
441	1475	1863
442	1477	1858
443	1480	1853
